ID,SchoolName
26111001,أسماء بنت أبي بكر الأساسية للبنات
26111002,خديجة عابدين الثانوية للبنات
26111003,نسيبة المازنية الأساسية للبنات
26111004,إبراهيم حسونة الأساسية للبنات
26111005,أحمد سدر الأساسية للبنات
26111006,جواد الهشلمون الأساسية للبنين
26111007,عبد الهادي السراحنه الأساسية للبنين
26111009,قلقس الأساسية للبنين
26111010,الزهراء الأساسية للبنات
26111011,الهاجرية الأساسية للبنين
26111012,حليمة السعدية الأساسية للبنات
26111013,السيدة سارة الثانوية للبنات
26111014,الريان الثانوية للبنات
26111016,وداد ناصر الدين الثانوية للبنات
26111019,آمنة بنت وهب الأساسية للبنات
26111020,إبراهيم أبو الضبعات الثانوية للبنات
26111061,الصفا الأساسية للبنات
26111066,الحسين بن علي الثانوية للبنين
26111067,النهضة الأساسية للبنين
26111070,الراشدين الثانوية للبنين
26111071,ربيحة الدجاني الأساسية للبنين
26111072,الملك خالد الثانوية للبنين
26111073,إبن خلدون الأساسية للبنين
26111083,الإبراهيمية الأساسية للبنين
26111084,حكمت المحتسب الثانوية للبنين
26111086,الحاج زياد جابر الأساسية للبنين
26111087,الخليل الأساسية للبنين
26111089,بئر السبع الأساسية للبنين
26111090,سيدنا إبراهيم الخليل الثانوية للبنين
26111091,الجزائر الأساسية للبنين
26111092,الصديق الأساسية للبنات
26111093,عبد الحي شاهين الأساسية للبنين
26111094,الفاروق الأساسية للبنين
26111095,الحاج محمد خالد الزعتري الأساسية للبنين
26111096,محمد علي الجعبري الأساسية للبنين
26111097,الشهيد فهد القواسمة الأساسية للبنين
26111098,إبن رشد الأساسية للبنين
26111099,الدكتور إسحق خليل شاور الأساسية للبنين
26111100,الخليل الثانوية الصناعية للبنين
26111104,الإمام علي الأساسية للبنين
26111105,المحمدية الأساسية للبنين
26111111,قرطبة الأساسية المختلطة
26111119,القدس الأساسية للبنات
26111120,إبراهيم ابو ديه الثانوية للبنين
26111121,الأهرام الأساسية للبنات
26111141,الأيوبية الأساسية للبنين
26111145,طارق بن زياد الثانوية للبنين
26111148,ياسر عمرو الثانوية للبنات
26111149,الحاج طالب سلهب الأساسية للبنات
26111150,غرناطة الأساسية للبنات
26111152,جوهر الأساسية للبنات
26111157,علي غازي المحتسب الثانوية للبنات
26111158,الأخوة الثانوية للبنات
26111159,الفيحاء الأساسية للبنات
26111160,خولة بنت الازور الثانوية للبنات
26111162,الحاج إبراهيم بركات الأساسية للبنات
26111163,اليعقوبية الأساسية للبنات
26111176,شجرة الدر الأساسية للبنات
26111177,رابعة العدوية الأساسية للبنات
26111178,حسان بن ثابت الثانوية للبنات
26111180,المعارف الأساسية للبنات
26111181,عائشة أم المؤمنين الأساسية للبنات
26111189,الشافعي الأساسية للبنين
26111211,خديجة بنت خويلد الأساسية للبنين
26111213,أم عمار بن ياسر الأساسية للبنات
26111214,الحاج إسحق القواسمي الأساسية للبنات
26111215,تيسير مرقة الأساسية للبنات
26111216,ذو النورين الأساسية للبنات
26111231,شهداء الحرم الابراهيمي الأساسية للبنين
26111240,شهداء الأقصى الأساسية للبنات
26111241,هدى عبد النبي الأساسية للبنين
26111246,تيسير مسودي الأساسية للبنين
26111247,محمد علي المحتسب الثانوية للبنات
26111248,السيدة هاجر الأساسية للبنات
26111251,صدقية أبو الضبعات الأساسية للبنات
26111258,الخوارزمي الثانوية للبنات
26111263,حربي أبو الضبعات الأساسية للبنين
26111264,ياسين طه الأساسية للبنات
26111265,النصر الأساسية للبنين
