ID,SchoolName
2611,مكتب التربية والتعليم - الخليل
26111002,خديجة عابدين الثانوية للبنات
26111013,السيدة سارة الثانوية للبنات
26111014,الريان الثانوية للبنات
26111016,وداد ناصر الدين الثانوية للبنات
26111020,إبراهيم أبو الضبعات الثانوية للبنات
26111066,الحسين بن علي الثانوية للبنين
26111070,الراشدين الثانوية للبنين
26111072,الملك خالد الثانوية للبنين
26111084,حكمت المحتسب الثانوية للبنين
26111090,سيدنا إبراهيم الخليل الثانوية للبنين
26111100,الخليل الثانوية الصناعية للبنين
26111120,إبراهيم ابو ديه الثانوية للبنين
26111145,طارق بن زياد الثانوية للبنين
26111148,ياسر عمرو الثانوية للبنات
26111157,علي غازي المحتسب الثانوية للبنات
26111158,الأخوة الثانوية للبنات
26111160,خولة بنت الازور الثانوية للبنات
26111178,حسان بن ثابت الثانوية للبنات
26111247,محمد علي المحتسب الثانوية للبنات
26111258,الخوارزمي الثانوية للبنات
26111284,الشهيد عبد العزيز ابو اسنينة الثانوية للبنات
26111301,مصباح أبو حنك الثانوية للبنين
26111380,الشهيد عثمان القصراوي الأساسية للبنات
26111391,الحاج عبد العزيز رضوان أبو اسنينة المهنية للبنين
26111393,الحاج فضل عابدين الثانوية المهنية للبنات
26111394,الحاج مصطفى مكاوي الأطرش الثانوية للبنات
26112031,تفوح الثانوية للبنات
26112077,رشدية المحتسب الثانوية للبنات
26112185,ترقوميا الثانوية للبنات
26112191,ترقوميا الثانوية للبنين
26112197,الشهيد داود العطاونة الثانوية للبنين
26112200,نصار العصافرة الثانوية للبنات
26112202,تفوح الثانوية للبنين
26112298,قلقس الثانوية للبنات
26311712,المدرسة الشرعية الثانوية للبنات
26331756,مصباح النتشة الثانوية للبنات
26331796,معهد الخليل الأزهري
26331798,الحاج رضوان والحاجة سعاد ابو سنينة الثانوية للبنين
